name1,name2,street1,street2,city,state,zip,zip4,county,GEOID,GEOID_Just_Tract,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,cbt,dbt,tele,saca,trc,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,mmd,mpep,fed,sotp,dea,samf,mhpa,hbt,hct,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f36,f4,Column1
"Galax Treatment Center, LLC",Christiansburg Comprehensive Treatment Center,"2100 Roanoke St, Ste 1",,Christiansburg,VA,24073,,,5.11E+14,1020,(540) 322-3040,,,,,37.1358036,-80.3694225,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Galax Treatment Center, LLC",New River Treatment Center,140 Larkspur Lane,,Galax,VA,24333,,,5.16E+14,70,(276) 236-6341,,,,,36.677039,-80.909176,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Poplar Springs Hospital,,350 Poplar Drive,,Petersburg,VA,23805,,Petersburg City,5.17E+14,811,804-733-6874,Intakes,804-733-6874 x3309,866-546-2229,http://www.poplarsprings.com,37.1873426,-77.3591622,SU,1,,,,1,,,1,,,,,,,,1,,,1,,1,1,1,,1,,,1,1,,1,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,,,,1,,,,1,1,1,,,,,1,1,,1,,1,1,,,,,,,,1,1,1,,,,,1,1,,,,,1,,,1,1,,,1,,,,,1,1,1,1,,,,,,,1,,,1,,1,,1,1,1,1,,,1,1,,,,,1,1,,,,1,,,,,1,,1,,,1,,1,,,,,,,,,,1,,,1,1,1,,1,,,,,,1,,,,,,1,1,1,,,,1,,,,,,,
Winchester Community MH Center Inc,,105 Stony Pointe Way,Suite 210,Strasburg,VA,22657,,Shenandoah,5.12E+14,1040,540-535-1112,,,,http://winchestercmhc.com/,38.9812422,-78.3485316,SU,1,,,,1,,1,1,1,1,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,1,1,1,1,,,1,1,,1,,1,,0.76185182
Orchard Mountain Recovery,,355 Rio Road West,Suite 203,Charlottesville,VA,22901,,Albemarle,5.10E+14,3010,434-282-2294,,,,http://www.orchardmtnrecovery.com,38.0841846,-78.4872088,SU,1,,,,,,,,,,,,,,,1,,,1,,1,1,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,,,,1,,,1,1,1,1,1,,1,,,1,,,1,1,1,,,,1,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
Richmond Private Methadone Clinic,(RPMC),4926 West Broad Street,,Richmond,VA,23230,,Henrico,5.11E+14,7200,804-673-5241,,,800-440-6310,http://www.methadonetreatmentcenters.com,37.584454,-77.496058,SU,1,1,1,,1,,,1,,,1,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,,,,,1,,,,,1,1,1,,,1,1,,1,1,1,,1,1,1,1,,,,,,1,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,1,1,,,1,1,,,,1,1,,,1,,,
Dinwiddie Counseling Services,,13900 Courthouse Road,Suite C,Dinwiddie,VA,23841,,Dinwiddie,5.11E+14,3840,804-469-3746,,,,http://www.d19csb.com,37.080477,-77.585315,SU,1,,,,,,,,,,,,,,,1,,,1,,,1,1,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,,,1,,,,,1,1,,,1,,,1,,1,1,1,1,,,,,,,,1,,1,1,1,,1,1,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,1,1,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0.41328864
Rappahannock Area Comm Servs Board,Stafford Clinic,15 Hope Road,,Stafford,VA,22554,,Stafford,5.12E+14,9010,540-373-6876,,540-659-2725,,http://www.rappahannockareacsb.org,38.4256162,-77.4061383,SU,1,,,,1,,,1,,,,,,,,1,,,,,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,1,1,1,1,,1,,,,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,1,1,,,1,,,1,,1,1,1,1,,1,,,,1,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,,1,,1,,,,,,,1,1,,1,,,1,1,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,
Highlands Community Services/Outpt,Substance Abuse Intensive Trt Program,610 Campus Drive,Suite 100,Abingdon,VA,24210,,Washington,5.12E+14,1010,276-525-1550,,276-525-1550 x1553,,http://www.highlandscsb.org,36.7107789,-81.9919142,SU,1,,,,1,,1,1,1,1,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,1,1,1,1,,1,,1,,1,,,,,,1,1,1,1,1,,1,,1,1,1,,1,,,,,1,1,,,1,1,,1,,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,1,1,1,,1,1,1,1,,1,,1,,1,,1,,1,1,1,1,1,,,1,,,1,,,,1,,,1,,,,,1,,1,,1,1,1,,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,0.51763864
Rockbridge Area Community Servs Board,,241 Greenhouse Road,,Lexington,VA,24450,3717,Lexington City,5.12E+14,3930,540-463-3141,,,855-222-2046,http://www.racsb.org,37.803843,-79.426826,SU,1,,,,1,,,1,1,,,,,,,,,,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,,1,,1,,1,,1,,,1,1,,,1,1,,1,,1,1,1,1,1,,,,,,,1,,1,1,1,,1,1,,,,,1,1,,1,,,1,,,1,,1,,1,,,,1,1,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,,
Alexandria Community Services Board,,720 North Saint Asaph Street,,Alexandria,VA,22314,,Alexandria City,5.15E+14,201,703-746-3400,,703-746-3535,,http://www.alexandriava.gov/DCHS,38.8123827,-77.0445004,SU,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Pinnacle Treatment Centers,American Addiction Treatment Center,12695 McManus Boulevard,Building 2,Newport News,VA,23602,,Newport News City,5.17E+14,32,757-234-4139,,,,http://www.americanaddictiontreatmentcenter.net,37.1411004,-76.5135446,SU,1,,1,,1,,,1,,,1,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,1,1,1,,1,,,1,,,1,,,
LewisGale,Behavioral Health,1902 Braeburn Drive,,Salem,VA,24153,,Salem,5.18E+14,5010,540-772-2801,Intakes,800-541-9992,540-776-1100,http://www.lewisgale.com,37.2643745,-80.0277786,SU,1,1,,,,,,,,,,,,,1,,,,1,,,1,,1,,,1,,1,,,,,,,1,,1,1,,1,,,,,,,,,1,1,,1,,,,,,1,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,1,1,1,,1,1,,,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,1,,,,,1,1,,,,,1,,1,1,1,,,,1,1,,1,1,1,1,1,,,,,,,,,1,,1,,,,,,1,,,,1,,1,1,,1,,,1,,1,,,1,,,,,1,,,,,,,1,1,,1,,,,,,,,,
New River Valley Community Services,Floyd Clinic,260 Webbs Mill Road,,Floyd,VA,24091,,Floyd,5.11E+14,3920,540-745-2047,,540-961-8400,,http://www.nrvcs.org,36.9191246,-80.3250752,SU,1,,,,,,,1,,,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,1,,1,1,,,1,,,,,1,1,,,1,1,,,,,1,1,1,,,,,,,,,,1,,1,,1,1,1,,,,1,1,,,,1,1,1,,,,1,,1,,1,,,1,,,1,,,,1,,,1,,,,,,,1,,1,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,0.7584165
Aquila Recovery of Virginia,,425 Carlisle Drive,Suite B,Herndon,VA,20170,5618,Fairfax,5.11E+14,9480,703-464-5122,,,,http://www.aquilarecoveryva.com,38.959461,-77.370262,SU,1,,,,,,,,1,,,,,,,1,,,1,,1,1,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,1,,,1,1,1,1,1,,1,,,1,,1,1,1,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.79140682
BHG Glen Allen Treatment Center,BHG XLII LLC,13100 Mountain Road,,Glen Allen,VA,23059,,Henrico,5.11E+14,5320,804-510-0556,,844-535-7291,,http://www.bhgrecovery.com,37.6910156,-77.5453413,SU,1,,,,1,,,1,,,,,,,,,,,,,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,1,1,1,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,1,1,1,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,1,,1,,1,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,1,,1,,,,,,1,1,,,1,,,
Council on Alcoholism,Lord Fairfax Community Inc,512 South Braddock Street,,Winchester,VA,22601,,Winchester City,5.18E+14,0,540-773-1566,,,,http://www.lordfairfaxhouse.com,39.1797482,-78.1688125,SU,1,,,,,,,,,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,1,,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,1,,,,1,,,1,1,1,,1,1,,1,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,
Sussex Counseling Services,,20 West Bank Street,,Petersburg,VA,23803,,Sussex,5.17E+14,811,804-863-8002,Intakes,804-834-2205 x101,434-348-8900,http://www.d19csb.com,37.0298196,-77.0974259,SU,1,,,,,,,,,,,,,,,1,,,1,,,1,1,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,1,,,,,1,1,,,1,,,,,1,1,,1,,,,,,,,1,,1,1,1,,1,1,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0.48301475
Bon Secours,Southampton Medical Center,100 Fairview Drive,,Franklin,VA,23851,,Franklin City,5.16E+14,90,757-569-6100,Intakes,833-887-1988,757-569-6350,http://www.bonsecours.com/locations/hospitals-med,36.6920412,-76.9375687,SU,1,1,,,,1,,1,,,,,,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,1,1,,1,,,,,,,,1,1,,1,1,,,,,,1,1,1,1,1,1,,,,,,1,1,1,1,1,,1,,,1,1,1,1,1,1,,1,1,1,,,1,,1,1,1,,1,,,1,1,1,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,1,1,,,,1,,,,1,,,1,,,,1,1,1,1,,1,1,1,1,1,,,,1,,,,,1,,,,,,1,1,1,,1,,,,,,,,,
